date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2017-02-18,30.0,15.0,0.0,11.6,6.0,3.9166666666666665,40.0,8.708333333333334,22.125,22.458333333333332,22.416666666666668,17.583333333333332,28.458333333333332,43.5,0.0,1016.1666666666666,21.125,10.0,293.75,10.291666666666666
2017-02-19,30.0,16.0,0.0,11.6,5.0,4.041666666666667,33.0,8.333333333333334,23.375,23.666666666666668,23.583333333333332,15.083333333333334,24.833333333333332,38.916666666666664,0.0,1013.125,22.0,10.0,255.70833333333334,8.375
2017-02-20,31.0,16.0,0.0,11.6,6.0,4.041666666666667,25.0,10.208333333333334,25.583333333333332,26.125,25.791666666666668,13.916666666666666,4.875,39.041666666666664,0.0,1005.6666666666666,22.375,10.0,250.625,8.291666666666666
2017-02-21,27.0,15.0,0.0,11.6,5.0,3.5833333333333335,18.0,10.041666666666666,22.375,22.791666666666668,22.458333333333332,15.208333333333334,2.5,46.625,0.0,1007.25,19.083333333333332,10.0,297.9583333333333,10.375
2017-02-22,26.0,11.0,0.0,11.6,5.0,3.625,10.0,6.666666666666667,22.625,22.666666666666668,23.041666666666668,13.416666666666666,0.0,38.666666666666664,0.0,1011.4166666666666,18.25,10.0,265.2916666666667,8.666666666666666
2017-02-23,26.0,11.0,0.0,11.6,5.0,3.5,3.0,1.25,20.458333333333332,20.375,20.875,19.75,0.0,28.625,0.0,1014.625,17.5,10.0,299.3333333333333,13.125
2017-02-24,27.0,12.0,0.0,11.6,5.0,3.7083333333333335,0.0,-2.0,20.041666666666668,19.916666666666668,20.416666666666668,25.25,0.25,22.75,0.0,1016.2083333333334,18.0,10.0,292.2083333333333,16.583333333333332
2017-02-25,29.0,13.0,0.0,11.6,5.0,3.7916666666666665,0.0,-3.0,20.916666666666668,21.0,21.5,25.666666666666668,2.5833333333333335,19.333333333333332,0.0,1013.625,19.708333333333332,10.0,289.1666666666667,15.666666666666666
2017-02-26,28.0,13.0,0.0,11.6,5.0,3.75,0.0,-1.625,21.791666666666668,21.75,22.333333333333332,19.208333333333332,3.625,20.5,0.0,1012.0416666666666,19.5,10.0,293.1666666666667,11.916666666666666
2017-02-27,29.0,12.0,0.0,11.6,5.0,3.7916666666666665,5.0,-1.7916666666666667,21.0,21.0,21.458333333333332,14.916666666666666,6.958333333333333,21.791666666666668,0.0,1013.7916666666666,19.583333333333332,10.0,248.70833333333334,9.0
2017-02-28,31.0,13.0,0.0,11.6,6.0,4.125,12.0,0.125,22.625,22.666666666666668,23.375,10.5,42.083333333333336,22.25,0.0,1013.25,22.333333333333332,10.0,94.125,5.625
2017-03-01,30.0,17.0,0.0,11.6,6.0,4.0,19.0,6.166666666666667,23.458333333333332,23.75,23.875,12.875,16.708333333333332,32.791666666666664,0.016666666666666666,1012.375,22.375,9.958333333333334,160.0,7.75
2017-03-02,29.0,15.0,0.0,11.6,5.0,3.7916666666666665,26.0,6.916666666666667,21.75,21.75,22.0,15.625,20.625,39.458333333333336,0.008333333333333333,1011.9583333333334,20.916666666666668,9.791666666666666,178.54166666666666,8.416666666666666
2017-03-03,28.0,14.0,0.0,8.7,6.0,3.5833333333333335,34.0,0.5416666666666666,20.958333333333332,20.916666666666668,21.5,18.541666666666668,36.625,25.833333333333332,0.0,1010.75,20.041666666666668,10.0,329.25,11.083333333333334
2017-03-04,27.0,13.0,0.0,11.6,5.0,3.7083333333333335,41.0,1.9583333333333333,21.916666666666668,21.75,22.541666666666668,17.875,0.5,27.208333333333332,0.0,1009.75,18.833333333333332,10.0,300.3333333333333,11.75
